method,split,seed,mean_success,ci95_success,mean_invalid_plan,ci95_invalid_plan,mean_collision_trap,ci95_collision_trap,mean_support_failure,ci95_support_failure,mean_topology_f1,ci95_topology_f1,mean_detection_latency,ci95_detection_latency,mean_replan_cost,ci95_replan_cost,mean_total_cost,ci95_total_cost,groups
oracle_topology_planner,perception_noise_shift,0,0.8293,0.0134,0.1211,0.0122,0.0871,0.0094,0.0068,0.0036,0.7952,0.0153,0.2817,0.0048,0.1684,0.0019,0.3742,0.0150,35
oracle_topology_planner,perception_noise_shift,1,0.8201,0.0157,0.1289,0.0114,0.0833,0.0099,0.0112,0.0055,0.7884,0.0161,0.2866,0.0045,0.1676,0.0019,0.3806,0.0138,35
oracle_topology_planner,perception_noise_shift,2,0.8299,0.0137,0.1170,0.0152,0.0779,0.0123,0.0150,0.0064,0.7969,0.0150,0.2860,0.0048,0.1673,0.0019,0.3681,0.0210,35
oracle_topology_planner,perception_noise_shift,3,0.8286,0.0125,0.1306,0.0125,0.0741,0.0115,0.0095,0.0046,0.8031,0.0158,0.2833,0.0047,0.1673,0.0018,0.3699,0.0196,35
oracle_topology_planner,perception_noise_shift,4,0.8160,0.0161,0.1265,0.0114,0.0789,0.0110,0.0082,0.0043,0.7952,0.0157,0.2816,0.0053,0.1651,0.0020,0.3681,0.0160,35
oracle_topology_planner,perception_noise_shift,5,0.8272,0.0132,0.1442,0.0137,0.0881,0.0133,0.0112,0.0053,0.8075,0.0166,0.2849,0.0047,0.1650,0.0019,0.3962,0.0189,35
oracle_topology_planner,perception_noise_shift,6,0.8146,0.0169,0.1235,0.0130,0.0745,0.0106,0.0095,0.0057,0.7983,0.0139,0.2805,0.0059,0.1670,0.0020,0.3638,0.0201,35
proposed_topology_change_detector,combined_stress,0,0.6905,0.0167,0.3259,0.0183,0.1956,0.0161,0.0871,0.0122,0.6435,0.0158,0.5587,0.0052,0.2021,0.0025,0.7856,0.0283,35
proposed_topology_change_detector,combined_stress,1,0.6796,0.0176,0.3065,0.0188,0.1871,0.0145,0.0966,0.0171,0.6347,0.0146,0.5647,0.0044,0.2042,0.0021,0.7719,0.0296,35
proposed_topology_change_detector,combined_stress,2,0.6718,0.0184,0.3044,0.0159,0.1844,0.0130,0.0861,0.0143,0.6374,0.0189,0.5694,0.0067,0.2025,0.0023,0.7544,0.0242,35
proposed_topology_change_detector,combined_stress,3,0.6786,0.0165,0.3150,0.0176,0.1929,0.0159,0.0993,0.0177,0.6435,0.0173,0.5644,0.0052,0.2015,0.0021,0.7856,0.0325,35
proposed_topology_change_detector,combined_stress,4,0.6735,0.0131,0.3071,0.0169,0.1956,0.0179,0.0874,0.0128,0.6255,0.0165,0.5673,0.0062,0.2022,0.0020,0.7702,0.0291,35
proposed_topology_change_detector,combined_stress,5,0.6816,0.0187,0.3068,0.0158,0.1799,0.0140,0.0956,0.0132,0.6381,0.0216,0.5634,0.0057,0.2004,0.0015,0.7595,0.0290,35
proposed_topology_change_detector,combined_stress,6,0.6653,0.0160,0.3061,0.0131,0.1816,0.0171,0.1000,0.0133,0.6231,0.0179,0.5659,0.0057,0.2014,0.0020,0.7664,0.0283,35
proposed_topology_change_detector,delayed_change_shift,0,0.6854,0.0205,0.2497,0.0150,0.1527,0.0111,0.0558,0.0109,0.6738,0.0219,0.5732,0.0047,0.1846,0.0018,0.6234,0.0215,35
proposed_topology_change_detector,delayed_change_shift,1,0.7058,0.0160,0.2371,0.0172,0.1531,0.0129,0.0667,0.0112,0.6857,0.0147,0.5741,0.0053,0.1849,0.0022,0.6248,0.0254,35
proposed_topology_change_detector,delayed_change_shift,2,0.7068,0.0163,0.2551,0.0200,0.1531,0.0152,0.0728,0.0143,0.6636,0.0153,0.5727,0.0060,0.1826,0.0017,0.6443,0.0347,35
proposed_topology_change_detector,delayed_change_shift,3,0.6963,0.0217,0.2425,0.0165,0.1490,0.0145,0.0592,0.0097,0.6752,0.0162,0.5704,0.0043,0.1831,0.0018,0.6153,0.0271,35
proposed_topology_change_detector,delayed_change_shift,4,0.6908,0.0172,0.2571,0.0165,0.1531,0.0120,0.0541,0.0093,0.6486,0.0148,0.5718,0.0065,0.1829,0.0021,0.6266,0.0255,35
proposed_topology_change_detector,delayed_change_shift,5,0.6956,0.0146,0.2449,0.0204,0.1493,0.0137,0.0633,0.0137,0.6745,0.0181,0.5748,0.0051,0.1830,0.0015,0.6218,0.0300,35
proposed_topology_change_detector,delayed_change_shift,6,0.6976,0.0191,0.2384,0.0169,0.1493,0.0134,0.0612,0.0100,0.6772,0.0141,0.5703,0.0049,0.1846,0.0017,0.6158,0.0221,35
proposed_topology_change_detector,embodiment_reach_shift,0,0.7245,0.0183,0.2415,0.0149,0.1422,0.0137,0.0595,0.0122,0.6976,0.0183,0.4264,0.0054,0.1773,0.0016,0.6014,0.0272,35
proposed_topology_change_detector,embodiment_reach_shift,1,0.7228,0.0144,0.2374,0.0136,0.1568,0.0127,0.0588,0.0115,0.7092,0.0145,0.4170,0.0043,0.1772,0.0022,0.6133,0.0240,35
proposed_topology_change_detector,embodiment_reach_shift,2,0.7173,0.0162,0.2361,0.0137,0.1395,0.0103,0.0578,0.0107,0.6997,0.0205,0.4225,0.0057,0.1780,0.0024,0.5927,0.0205,35
proposed_topology_change_detector,embodiment_reach_shift,3,0.7269,0.0163,0.2544,0.0139,0.1473,0.0144,0.0585,0.0120,0.7044,0.0145,0.4198,0.0055,0.1768,0.0021,0.6165,0.0205,35
proposed_topology_change_detector,embodiment_reach_shift,4,0.7286,0.0171,0.2330,0.0138,0.1395,0.0162,0.0507,0.0102,0.7020,0.0157,0.4181,0.0048,0.1793,0.0017,0.5839,0.0250,35
proposed_topology_change_detector,embodiment_reach_shift,5,0.7282,0.0179,0.2446,0.0166,0.1486,0.0134,0.0514,0.0083,0.7071,0.0165,0.4192,0.0061,0.1786,0.0022,0.6039,0.0220,35
proposed_topology_change_detector,embodiment_reach_shift,6,0.7221,0.0166,0.2469,0.0168,0.1565,0.0151,0.0537,0.0095,0.7116,0.0172,0.4162,0.0048,0.1790,0.0021,0.6174,0.0305,35
proposed_topology_change_detector,nominal,0,0.7439,0.0149,0.1286,0.0129,0.0912,0.0132,0.0048,0.0029,0.7269,0.0142,0.3581,0.0061,0.1503,0.0019,0.3649,0.0194,35
proposed_topology_change_detector,nominal,1,0.7456,0.0168,0.1279,0.0132,0.0844,0.0102,0.0044,0.0032,0.7187,0.0170,0.3575,0.0061,0.1499,0.0019,0.3560,0.0192,35
proposed_topology_change_detector,nominal,2,0.7480,0.0172,0.1350,0.0143,0.0864,0.0089,0.0051,0.0029,0.7207,0.0197,0.3544,0.0056,0.1500,0.0021,0.3651,0.0174,35
proposed_topology_change_detector,nominal,3,0.7221,0.0156,0.1364,0.0121,0.0861,0.0091,0.0058,0.0034,0.7109,0.0171,0.3560,0.0058,0.1501,0.0025,0.3668,0.0136,35
proposed_topology_change_detector,nominal,4,0.7327,0.0152,0.1293,0.0104,0.0918,0.0124,0.0065,0.0029,0.7248,0.0170,0.3535,0.0053,0.1496,0.0015,0.3672,0.0159,35
proposed_topology_change_detector,nominal,5,0.7381,0.0157,0.1303,0.0111,0.0850,0.0080,0.0044,0.0024,0.7150,0.0188,0.3528,0.0062,0.1493,0.0020,0.3582,0.0131,35
proposed_topology_change_detector,nominal,6,0.7381,0.0168,0.1371,0.0095,0.0905,0.0113,0.0048,0.0026,0.7207,0.0148,0.3570,0.0049,0.1512,0.0020,0.3722,0.0161,35
proposed_topology_change_detector,perception_noise_shift,0,0.6837,0.0167,0.1997,0.0192,0.1293,0.0147,0.0483,0.0104,0.6476,0.0162,0.3926,0.0054,0.1792,0.0023,0.5418,0.0252,35
proposed_topology_change_detector,perception_noise_shift,1,0.6976,0.0178,0.1939,0.0140,0.1313,0.0130,0.0480,0.0078,0.6660,0.0154,0.3968,0.0047,0.1800,0.0018,0.5396,0.0225,35
proposed_topology_change_detector,perception_noise_shift,2,0.7014,0.0171,0.1929,0.0139,0.1361,0.0158,0.0459,0.0101,0.6514,0.0173,0.4027,0.0055,0.1786,0.0024,0.5404,0.0216,35
proposed_topology_change_detector,perception_noise_shift,3,0.7078,0.0172,0.2020,0.0165,0.1269,0.0120,0.0442,0.0088,0.6422,0.0170,0.4001,0.0046,0.1803,0.0020,0.5380,0.0227,35
proposed_topology_change_detector,perception_noise_shift,4,0.7010,0.0152,0.1878,0.0135,0.1364,0.0119,0.0425,0.0085,0.6639,0.0178,0.3994,0.0058,0.1809,0.0021,0.5352,0.0209,35
proposed_topology_change_detector,perception_noise_shift,5,0.7061,0.0162,0.2139,0.0136,0.1228,0.0134,0.0510,0.0121,0.6483,0.0160,0.3988,0.0055,0.1785,0.0019,0.5490,0.0260,35
proposed_topology_change_detector,perception_noise_shift,6,0.7061,0.0146,0.1888,0.0137,0.1378,0.0145,0.0473,0.0102,0.6517,0.0151,0.3956,0.0056,0.1789,0.0022,0.5405,0.0265,35
risk_aware_robust_replanner,combined_stress,0,0.4704,0.0185,0.4129,0.0200,0.2204,0.0123,0.1486,0.0171,0.3493,0.0148,0.7628,0.0051,0.2600,0.0018,1.0095,0.0242,35
risk_aware_robust_replanner,combined_stress,1,0.4857,0.0171,0.4126,0.0188,0.2293,0.0166,0.1537,0.0146,0.3435,0.0193,0.7562,0.0055,0.2593,0.0023,1.0236,0.0306,35
risk_aware_robust_replanner,combined_stress,2,0.4704,0.0215,0.4173,0.0197,0.2269,0.0155,0.1520,0.0181,0.3340,0.0165,0.7618,0.0051,0.2586,0.0021,1.0225,0.0358,35
risk_aware_robust_replanner,combined_stress,3,0.4643,0.0207,0.4276,0.0186,0.2248,0.0147,0.1486,0.0153,0.3500,0.0185,0.7625,0.0068,0.2593,0.0022,1.0261,0.0326,35
risk_aware_robust_replanner,combined_stress,4,0.4748,0.0177,0.4306,0.0169,0.2310,0.0182,0.1544,0.0156,0.3418,0.0174,0.7705,0.0058,0.2579,0.0018,1.0401,0.0345,35
risk_aware_robust_replanner,combined_stress,5,0.4656,0.0182,0.4170,0.0178,0.2320,0.0190,0.1575,0.0173,0.3578,0.0186,0.7629,0.0051,0.2595,0.0022,1.0345,0.0372,35
risk_aware_robust_replanner,combined_stress,6,0.4793,0.0220,0.4214,0.0151,0.2116,0.0184,0.1585,0.0185,0.3534,0.0137,0.7664,0.0058,0.2604,0.0015,1.0178,0.0339,35
risk_aware_robust_replanner,delayed_change_shift,0,0.5344,0.0170,0.3636,0.0153,0.1963,0.0138,0.1262,0.0191,0.3776,0.0181,0.7766,0.0058,0.2416,0.0018,0.8991,0.0311,35
risk_aware_robust_replanner,delayed_change_shift,1,0.5034,0.0182,0.3595,0.0157,0.1905,0.0169,0.1204,0.0142,0.4007,0.0185,0.7717,0.0050,0.2403,0.0022,0.8818,0.0256,35
risk_aware_robust_replanner,delayed_change_shift,2,0.5378,0.0162,0.3694,0.0205,0.1901,0.0143,0.1160,0.0145,0.3721,0.0167,0.7743,0.0059,0.2409,0.0019,0.8858,0.0299,35
risk_aware_robust_replanner,delayed_change_shift,3,0.5316,0.0208,0.3548,0.0179,0.1895,0.0173,0.1235,0.0105,0.3690,0.0166,0.7718,0.0049,0.2429,0.0021,0.8825,0.0313,35
risk_aware_robust_replanner,delayed_change_shift,4,0.5248,0.0179,0.3650,0.0188,0.1918,0.0153,0.1116,0.0127,0.4068,0.0217,0.7711,0.0045,0.2424,0.0018,0.8808,0.0310,35
risk_aware_robust_replanner,delayed_change_shift,5,0.5442,0.0173,0.3643,0.0127,0.1888,0.0127,0.1299,0.0156,0.3796,0.0180,0.7727,0.0060,0.2425,0.0021,0.8962,0.0249,35
risk_aware_robust_replanner,delayed_change_shift,6,0.5102,0.0173,0.3724,0.0177,0.1891,0.0111,0.1276,0.0158,0.3901,0.0192,0.7734,0.0063,0.2420,0.0021,0.9005,0.0230,35
risk_aware_robust_replanner,embodiment_reach_shift,0,0.5418,0.0181,0.3612,0.0174,0.1973,0.0150,0.1211,0.0132,0.4432,0.0163,0.6236,0.0056,0.2376,0.0017,0.8888,0.0243,35
risk_aware_robust_replanner,embodiment_reach_shift,1,0.5269,0.0192,0.3599,0.0150,0.1854,0.0161,0.1245,0.0132,0.4262,0.0168,0.6188,0.0054,0.2352,0.0020,0.8757,0.0280,35
risk_aware_robust_replanner,embodiment_reach_shift,2,0.5422,0.0215,0.3541,0.0160,0.1861,0.0126,0.1201,0.0155,0.4323,0.0192,0.6210,0.0050,0.2372,0.0021,0.8689,0.0258,35
risk_aware_robust_replanner,embodiment_reach_shift,3,0.5412,0.0207,0.3527,0.0164,0.1956,0.0183,0.1187,0.0133,0.4245,0.0148,0.6181,0.0048,0.2372,0.0018,0.8768,0.0293,35
risk_aware_robust_replanner,embodiment_reach_shift,4,0.5299,0.0150,0.3561,0.0142,0.1946,0.0148,0.1235,0.0127,0.4333,0.0197,0.6202,0.0051,0.2356,0.0018,0.8819,0.0224,35
risk_aware_robust_replanner,embodiment_reach_shift,5,0.5344,0.0169,0.3650,0.0165,0.1864,0.0172,0.1221,0.0126,0.4299,0.0202,0.6139,0.0064,0.2354,0.0022,0.8789,0.0249,35
risk_aware_robust_replanner,embodiment_reach_shift,6,0.5289,0.0197,0.3398,0.0181,0.1850,0.0166,0.1109,0.0135,0.4299,0.0176,0.6185,0.0049,0.2359,0.0021,0.8447,0.0331,35
risk_aware_robust_replanner,nominal,0,0.6037,0.0147,0.2422,0.0162,0.1269,0.0138,0.0639,0.0084,0.4463,0.0164,0.5556,0.0058,0.2082,0.0020,0.6208,0.0223,35
risk_aware_robust_replanner,nominal,1,0.6054,0.0157,0.2571,0.0144,0.1224,0.0127,0.0731,0.0096,0.4483,0.0210,0.5528,0.0050,0.2102,0.0020,0.6403,0.0216,35
risk_aware_robust_replanner,nominal,2,0.6139,0.0216,0.2361,0.0152,0.1187,0.0140,0.0653,0.0111,0.4724,0.0164,0.5508,0.0044,0.2089,0.0020,0.6087,0.0268,35
risk_aware_robust_replanner,nominal,3,0.6153,0.0184,0.2347,0.0153,0.1228,0.0121,0.0602,0.0090,0.4592,0.0166,0.5512,0.0061,0.2099,0.0018,0.6076,0.0204,35
risk_aware_robust_replanner,nominal,4,0.6054,0.0199,0.2469,0.0181,0.1337,0.0138,0.0565,0.0090,0.4605,0.0143,0.5502,0.0050,0.2096,0.0022,0.6258,0.0232,35
risk_aware_robust_replanner,nominal,5,0.5895,0.0183,0.2412,0.0167,0.1197,0.0136,0.0575,0.0075,0.4554,0.0174,0.5524,0.0050,0.2087,0.0022,0.6057,0.0233,35
risk_aware_robust_replanner,nominal,6,0.6065,0.0187,0.2299,0.0141,0.1289,0.0134,0.0660,0.0106,0.4395,0.0208,0.5526,0.0053,0.2104,0.0024,0.6169,0.0234,35
risk_aware_robust_replanner,perception_noise_shift,0,0.5276,0.0211,0.3041,0.0128,0.1694,0.0149,0.0973,0.0127,0.3898,0.0176,0.5966,0.0047,0.2355,0.0020,0.7824,0.0257,35
risk_aware_robust_replanner,perception_noise_shift,1,0.5327,0.0176,0.3245,0.0175,0.1769,0.0127,0.1102,0.0112,0.3844,0.0175,0.6005,0.0049,0.2380,0.0021,0.8241,0.0268,35
risk_aware_robust_replanner,perception_noise_shift,2,0.5503,0.0142,0.3170,0.0194,0.1850,0.0161,0.1150,0.0157,0.3986,0.0178,0.5949,0.0064,0.2386,0.0021,0.8323,0.0288,35
risk_aware_robust_replanner,perception_noise_shift,3,0.5575,0.0165,0.3037,0.0184,0.1799,0.0132,0.1112,0.0129,0.3861,0.0154,0.5981,0.0049,0.2358,0.0020,0.8087,0.0237,35
risk_aware_robust_replanner,perception_noise_shift,4,0.5578,0.0214,0.3136,0.0177,0.1779,0.0140,0.1085,0.0129,0.3735,0.0172,0.5986,0.0060,0.2358,0.0021,0.8120,0.0246,35
risk_aware_robust_replanner,perception_noise_shift,5,0.5575,0.0175,0.3082,0.0172,0.1619,0.0156,0.1126,0.0125,0.3810,0.0207,0.6009,0.0053,0.2382,0.0016,0.7965,0.0243,35
risk_aware_robust_replanner,perception_noise_shift,6,0.5395,0.0206,0.3075,0.0184,0.1728,0.0132,0.1014,0.0101,0.3878,0.0173,0.5976,0.0046,0.2367,0.0021,0.7945,0.0245,35
static_scene_graph_planner,combined_stress,0,0.3663,0.0173,0.5112,0.0174,0.3303,0.0196,0.2211,0.0167,0.2082,0.0140,0.9047,0.0059,0.1267,0.0019,1.1567,0.0320,35
static_scene_graph_planner,combined_stress,1,0.3449,0.0147,0.4898,0.0190,0.3228,0.0185,0.2231,0.0208,0.2092,0.0150,0.9005,0.0051,0.1272,0.0022,1.1329,0.0381,35
static_scene_graph_planner,combined_stress,2,0.3527,0.0175,0.5133,0.0193,0.3241,0.0185,0.2119,0.0177,0.2167,0.0145,0.9039,0.0058,0.1273,0.0017,1.1427,0.0352,35
static_scene_graph_planner,combined_stress,3,0.3551,0.0176,0.5153,0.0164,0.3293,0.0189,0.2136,0.0196,0.2150,0.0142,0.9057,0.0056,0.1257,0.0024,1.1502,0.0349,35
static_scene_graph_planner,combined_stress,4,0.3463,0.0172,0.4983,0.0179,0.3272,0.0150,0.2238,0.0184,0.2027,0.0129,0.9020,0.0056,0.1272,0.0020,1.1457,0.0292,35
static_scene_graph_planner,combined_stress,5,0.3548,0.0170,0.5126,0.0200,0.3221,0.0169,0.2224,0.0167,0.2173,0.0141,0.9022,0.0043,0.1273,0.0021,1.1508,0.0300,35
static_scene_graph_planner,combined_stress,6,0.3585,0.0185,0.5041,0.0184,0.3136,0.0178,0.2214,0.0182,0.2054,0.0148,0.9024,0.0059,0.1255,0.0020,1.1314,0.0319,35
static_scene_graph_planner,delayed_change_shift,0,0.4201,0.0239,0.4473,0.0185,0.2779,0.0162,0.1881,0.0164,0.2524,0.0182,0.9160,0.0046,0.1242,0.0021,1.0076,0.0289,35
static_scene_graph_planner,delayed_change_shift,1,0.4095,0.0192,0.4364,0.0197,0.2782,0.0187,0.1755,0.0160,0.2514,0.0147,0.9161,0.0056,0.1251,0.0016,0.9863,0.0270,35
static_scene_graph_planner,delayed_change_shift,2,0.4133,0.0239,0.4449,0.0193,0.2850,0.0143,0.1776,0.0129,0.2476,0.0148,0.9135,0.0055,0.1264,0.0022,1.0045,0.0210,35
static_scene_graph_planner,delayed_change_shift,3,0.4207,0.0225,0.4286,0.0172,0.2823,0.0154,0.1704,0.0140,0.2459,0.0159,0.9088,0.0046,0.1242,0.0019,0.9779,0.0250,35
static_scene_graph_planner,delayed_change_shift,4,0.4221,0.0160,0.4395,0.0204,0.2789,0.0135,0.1850,0.0159,0.2585,0.0166,0.9124,0.0053,0.1261,0.0021,1.0007,0.0310,35
static_scene_graph_planner,delayed_change_shift,5,0.4248,0.0172,0.4333,0.0166,0.2816,0.0189,0.1827,0.0177,0.2541,0.0112,0.9114,0.0057,0.1265,0.0020,0.9964,0.0305,35
static_scene_graph_planner,delayed_change_shift,6,0.4109,0.0192,0.4408,0.0201,0.2820,0.0173,0.1823,0.0137,0.2605,0.0193,0.9143,0.0057,0.1261,0.0018,1.0024,0.0287,35
static_scene_graph_planner,embodiment_reach_shift,0,0.4105,0.0185,0.4333,0.0168,0.2782,0.0143,0.1871,0.0149,0.2837,0.0171,0.7578,0.0043,0.1257,0.0015,0.9965,0.0307,35
static_scene_graph_planner,embodiment_reach_shift,1,0.4143,0.0210,0.4486,0.0181,0.2786,0.0187,0.1857,0.0164,0.3061,0.0182,0.7643,0.0053,0.1244,0.0016,1.0071,0.0318,35
static_scene_graph_planner,embodiment_reach_shift,2,0.4190,0.0181,0.4388,0.0189,0.2806,0.0163,0.1810,0.0180,0.2833,0.0155,0.7594,0.0048,0.1249,0.0018,0.9966,0.0377,35
static_scene_graph_planner,embodiment_reach_shift,3,0.4054,0.0175,0.4384,0.0209,0.2847,0.0148,0.1803,0.0194,0.2847,0.0226,0.7625,0.0051,0.1250,0.0019,1.0001,0.0362,35
static_scene_graph_planner,embodiment_reach_shift,4,0.4027,0.0203,0.4320,0.0186,0.2748,0.0165,0.1806,0.0140,0.2905,0.0190,0.7630,0.0050,0.1260,0.0017,0.9851,0.0336,35
static_scene_graph_planner,embodiment_reach_shift,5,0.4027,0.0175,0.4347,0.0164,0.2660,0.0179,0.1813,0.0136,0.2881,0.0190,0.7597,0.0065,0.1253,0.0017,0.9778,0.0313,35
static_scene_graph_planner,embodiment_reach_shift,6,0.4034,0.0154,0.4156,0.0189,0.2755,0.0168,0.1670,0.0146,0.2956,0.0138,0.7596,0.0047,0.1258,0.0020,0.9575,0.0247,35
static_scene_graph_planner,nominal,0,0.5099,0.0207,0.3122,0.0171,0.2190,0.0140,0.1320,0.0112,0.3092,0.0138,0.6986,0.0054,0.1231,0.0025,0.7680,0.0211,35
static_scene_graph_planner,nominal,1,0.4935,0.0174,0.3293,0.0217,0.2156,0.0127,0.1180,0.0141,0.3139,0.0193,0.6939,0.0055,0.1245,0.0021,0.7655,0.0288,35
static_scene_graph_planner,nominal,2,0.4942,0.0202,0.3306,0.0190,0.2214,0.0108,0.1272,0.0136,0.3099,0.0162,0.6924,0.0051,0.1230,0.0021,0.7811,0.0205,35
static_scene_graph_planner,nominal,3,0.5082,0.0147,0.3133,0.0168,0.2031,0.0159,0.1150,0.0098,0.3228,0.0151,0.6907,0.0059,0.1218,0.0018,0.7321,0.0257,35
static_scene_graph_planner,nominal,4,0.5112,0.0226,0.3211,0.0176,0.2197,0.0147,0.1224,0.0124,0.3238,0.0127,0.6912,0.0051,0.1227,0.0019,0.7659,0.0294,35
static_scene_graph_planner,nominal,5,0.4976,0.0208,0.3221,0.0188,0.2330,0.0142,0.1347,0.0134,0.3167,0.0175,0.6926,0.0056,0.1243,0.0022,0.7958,0.0241,35
static_scene_graph_planner,nominal,6,0.5218,0.0166,0.3201,0.0153,0.2231,0.0156,0.1252,0.0095,0.3146,0.0173,0.6963,0.0056,0.1222,0.0019,0.7711,0.0263,35
static_scene_graph_planner,perception_noise_shift,0,0.4429,0.0196,0.3745,0.0163,0.2592,0.0168,0.1680,0.0169,0.2398,0.0182,0.7441,0.0061,0.1266,0.0023,0.9065,0.0334,35
static_scene_graph_planner,perception_noise_shift,1,0.4476,0.0137,0.4000,0.0172,0.2605,0.0164,0.1663,0.0173,0.2442,0.0206,0.7401,0.0052,0.1268,0.0022,0.9281,0.0308,35
static_scene_graph_planner,perception_noise_shift,2,0.4350,0.0163,0.3891,0.0175,0.2629,0.0164,0.1871,0.0179,0.2497,0.0149,0.7365,0.0057,0.1241,0.0020,0.9405,0.0314,35
static_scene_graph_planner,perception_noise_shift,3,0.4320,0.0155,0.3912,0.0160,0.2480,0.0181,0.1660,0.0141,0.2537,0.0141,0.7371,0.0056,0.1263,0.0019,0.9058,0.0288,35
static_scene_graph_planner,perception_noise_shift,4,0.4276,0.0185,0.3932,0.0191,0.2565,0.0146,0.1643,0.0145,0.2486,0.0187,0.7407,0.0051,0.1258,0.0023,0.9146,0.0307,35
static_scene_graph_planner,perception_noise_shift,5,0.4435,0.0189,0.3912,0.0159,0.2711,0.0165,0.1653,0.0168,0.2429,0.0149,0.7393,0.0050,0.1236,0.0022,0.9278,0.0316,35
static_scene_graph_planner,perception_noise_shift,6,0.4592,0.0204,0.3942,0.0171,0.2622,0.0158,0.1639,0.0163,0.2544,0.0162,0.7403,0.0048,0.1247,0.0018,0.9204,0.0319,35
topological_slam_tamp,combined_stress,0,0.5728,0.0225,0.3687,0.0151,0.2425,0.0151,0.1241,0.0146,0.4793,0.0167,0.6856,0.0061,0.2067,0.0022,0.9173,0.0275,35
topological_slam_tamp,combined_stress,1,0.5663,0.0168,0.3837,0.0186,0.2241,0.0157,0.1265,0.0152,0.5146,0.0200,0.6839,0.0060,0.2073,0.0022,0.9129,0.0309,35
topological_slam_tamp,combined_stress,2,0.5653,0.0148,0.3765,0.0195,0.2357,0.0156,0.1384,0.0152,0.4854,0.0181,0.6854,0.0043,0.2070,0.0020,0.9317,0.0319,35
topological_slam_tamp,combined_stress,3,0.5558,0.0181,0.3697,0.0213,0.2306,0.0173,0.1238,0.0142,0.4949,0.0156,0.6843,0.0052,0.2079,0.0018,0.9059,0.0330,35
topological_slam_tamp,combined_stress,4,0.5684,0.0202,0.3874,0.0182,0.2350,0.0180,0.1320,0.0139,0.4986,0.0186,0.6900,0.0052,0.2083,0.0020,0.9347,0.0318,35
topological_slam_tamp,combined_stress,5,0.5582,0.0145,0.3949,0.0185,0.2327,0.0143,0.1391,0.0184,0.4782,0.0165,0.6834,0.0047,0.2086,0.0020,0.9463,0.0318,35
topological_slam_tamp,combined_stress,6,0.5578,0.0227,0.3929,0.0171,0.2354,0.0146,0.1252,0.0128,0.5003,0.0165,0.6833,0.0055,0.2069,0.0020,0.9312,0.0260,35
topological_slam_tamp,delayed_change_shift,0,0.5881,0.0164,0.3259,0.0170,0.2024,0.0162,0.1102,0.0116,0.5575,0.0161,0.6897,0.0041,0.1946,0.0013,0.8099,0.0256,35
topological_slam_tamp,delayed_change_shift,1,0.5956,0.0188,0.3286,0.0141,0.1956,0.0155,0.1048,0.0113,0.5378,0.0191,0.6905,0.0047,0.1928,0.0020,0.7973,0.0263,35
topological_slam_tamp,delayed_change_shift,2,0.5952,0.0145,0.3218,0.0168,0.2024,0.0124,0.0990,0.0142,0.5296,0.0181,0.6889,0.0053,0.1939,0.0018,0.7939,0.0221,35
topological_slam_tamp,delayed_change_shift,3,0.6099,0.0148,0.3224,0.0144,0.1949,0.0128,0.1031,0.0141,0.5299,0.0185,0.6907,0.0047,0.1942,0.0016,0.7909,0.0240,35
topological_slam_tamp,delayed_change_shift,4,0.6010,0.0200,0.3041,0.0138,0.2007,0.0149,0.0986,0.0123,0.5255,0.0189,0.6869,0.0053,0.1943,0.0019,0.7771,0.0303,35
topological_slam_tamp,delayed_change_shift,5,0.5861,0.0174,0.3265,0.0199,0.1997,0.0166,0.1058,0.0141,0.5245,0.0163,0.6925,0.0053,0.1939,0.0022,0.8021,0.0286,35
topological_slam_tamp,delayed_change_shift,6,0.6099,0.0178,0.3235,0.0208,0.1922,0.0154,0.1058,0.0146,0.5296,0.0178,0.6908,0.0065,0.1941,0.0019,0.7915,0.0275,35
topological_slam_tamp,embodiment_reach_shift,0,0.6000,0.0205,0.3139,0.0171,0.1861,0.0143,0.0990,0.0110,0.5769,0.0177,0.5391,0.0050,0.1913,0.0018,0.7667,0.0283,35
topological_slam_tamp,embodiment_reach_shift,1,0.6051,0.0190,0.3139,0.0167,0.1762,0.0170,0.0952,0.0109,0.5697,0.0204,0.5417,0.0051,0.1907,0.0019,0.7513,0.0270,35
topological_slam_tamp,embodiment_reach_shift,2,0.6037,0.0208,0.3333,0.0137,0.1932,0.0138,0.0986,0.0154,0.5537,0.0192,0.5381,0.0065,0.1891,0.0018,0.7885,0.0279,35
topological_slam_tamp,embodiment_reach_shift,3,0.6095,0.0172,0.2929,0.0152,0.1925,0.0161,0.0929,0.0108,0.5646,0.0157,0.5369,0.0044,0.1902,0.0020,0.7484,0.0249,35
topological_slam_tamp,embodiment_reach_shift,4,0.6180,0.0175,0.3146,0.0136,0.1786,0.0149,0.1054,0.0108,0.5701,0.0167,0.5403,0.0056,0.1904,0.0024,0.7650,0.0237,35
topological_slam_tamp,embodiment_reach_shift,5,0.6119,0.0191,0.3099,0.0185,0.1939,0.0124,0.0895,0.0102,0.5701,0.0150,0.5395,0.0056,0.1888,0.0024,0.7594,0.0241,35
topological_slam_tamp,embodiment_reach_shift,6,0.6150,0.0177,0.3017,0.0183,0.1976,0.0155,0.0963,0.0133,0.5568,0.0149,0.5423,0.0061,0.1899,0.0018,0.7648,0.0335,35
