method,split,task,family,mean_success,ci95_success,mean_invalid_plan,ci95_invalid_plan,mean_collision_trap,ci95_collision_trap,mean_support_failure,ci95_support_failure,mean_topology_f1,ci95_topology_f1,mean_detection_latency,ci95_detection_latency,mean_replan_cost,ci95_replan_cost,mean_total_cost,ci95_total_cost,groups,mean_regret_to_oracle
occupancy_delta_replanner,delayed_change_shift,drawer_occluder_access,reachable_component_split_merge,0.4932,0.0160,0.3980,0.0363,0.2466,0.0258,0.1412,0.0281,0.3827,0.0454,0.8221,0.0105,0.1887,0.0039,0.9465,0.0405,7,0.3452
occupancy_delta_replanner,delayed_change_shift,drawer_occluder_access,support_removal,0.4592,0.0321,0.3639,0.0325,0.2330,0.0309,0.2075,0.0443,0.3588,0.0339,0.8100,0.0124,0.1830,0.0028,0.9665,0.0763,7,0.3588
occupancy_delta_replanner,delayed_change_shift,drawer_occluder_access,tool_access_tunnel_blockage,0.4745,0.0332,0.3605,0.0366,0.2007,0.0224,0.1395,0.0278,0.3605,0.0516,0.8257,0.0092,0.1778,0.0056,0.8514,0.0515,7,0.3282
occupancy_delta_replanner,delayed_change_shift,mobile_manipulation_movable_obstacles,kinematic_trap_creation,0.4949,0.0416,0.3878,0.0292,0.2636,0.0382,0.1429,0.0269,0.3622,0.0238,0.8229,0.0073,0.1831,0.0045,0.9527,0.0443,7,0.3486
occupancy_delta_replanner,delayed_change_shift,mobile_manipulation_movable_obstacles,object_stack_dependency_flip,0.4830,0.0504,0.3895,0.0425,0.2483,0.0362,0.2143,0.0228,0.3827,0.0285,0.8133,0.0100,0.1855,0.0027,1.0147,0.0321,7,0.3503
occupancy_delta_replanner,delayed_change_shift,mobile_manipulation_movable_obstacles,occlusion_reveal_hide,0.4643,0.0318,0.3878,0.0429,0.2228,0.0325,0.1514,0.0189,0.3418,0.0370,0.8320,0.0135,0.1859,0.0071,0.9194,0.0420,7,0.3605
occupancy_delta_replanner,delayed_change_shift,mobile_manipulation_movable_obstacles,passage_closure_opening,0.4626,0.0343,0.3895,0.0545,0.2704,0.0355,0.1429,0.0102,0.3129,0.0413,0.8150,0.0101,0.1824,0.0046,0.9608,0.0519,7,0.3571
occupancy_delta_replanner,delayed_change_shift,mobile_manipulation_movable_obstacles,reachable_component_split_merge,0.5119,0.0541,0.3810,0.0274,0.2704,0.0536,0.1548,0.0288,0.3554,0.0726,0.8028,0.0169,0.1817,0.0035,0.9655,0.0486,7,0.3656
occupancy_delta_replanner,delayed_change_shift,mobile_manipulation_movable_obstacles,support_removal,0.4813,0.0325,0.3963,0.0189,0.2347,0.0329,0.1769,0.0303,0.3503,0.0283,0.8127,0.0100,0.1821,0.0032,0.9628,0.0537,7,0.3554
occupancy_delta_replanner,delayed_change_shift,mobile_manipulation_movable_obstacles,tool_access_tunnel_blockage,0.4660,0.0454,0.3980,0.0305,0.2381,0.0260,0.1514,0.0258,0.3639,0.0325,0.8113,0.0062,0.1837,0.0037,0.9428,0.0539,7,0.3503
occupancy_delta_replanner,delayed_change_shift,narrow_passage_bin_pick,kinematic_trap_creation,0.5136,0.0663,0.3707,0.0290,0.2908,0.0274,0.1582,0.0516,0.3622,0.0432,0.8028,0.0139,0.1817,0.0053,0.9828,0.0769,7,0.3214
occupancy_delta_replanner,delayed_change_shift,narrow_passage_bin_pick,object_stack_dependency_flip,0.4847,0.0443,0.3895,0.0498,0.2415,0.0431,0.2041,0.0246,0.3776,0.0237,0.8139,0.0111,0.1828,0.0034,0.9937,0.0358,7,0.3554
occupancy_delta_replanner,delayed_change_shift,narrow_passage_bin_pick,occlusion_reveal_hide,0.5255,0.0236,0.3571,0.0423,0.2670,0.0441,0.1480,0.0370,0.3605,0.0440,0.8262,0.0088,0.1831,0.0057,0.9358,0.0539,7,0.3095
occupancy_delta_replanner,delayed_change_shift,narrow_passage_bin_pick,passage_closure_opening,0.4609,0.0425,0.4014,0.0263,0.2585,0.0466,0.1310,0.0345,0.3895,0.0514,0.8138,0.0139,0.1850,0.0026,0.9480,0.0663,7,0.3793
occupancy_delta_replanner,delayed_change_shift,narrow_passage_bin_pick,reachable_component_split_merge,0.5034,0.0348,0.3690,0.0381,0.2704,0.0498,0.1701,0.0202,0.3520,0.0203,0.8182,0.0145,0.1868,0.0042,0.9765,0.0829,7,0.3197
occupancy_delta_replanner,delayed_change_shift,narrow_passage_bin_pick,support_removal,0.4745,0.0528,0.3946,0.0246,0.2823,0.0403,0.1820,0.0300,0.3673,0.0257,0.8175,0.0191,0.1851,0.0035,1.0221,0.0759,7,0.3980
occupancy_delta_replanner,delayed_change_shift,narrow_passage_bin_pick,tool_access_tunnel_blockage,0.5068,0.0443,0.3946,0.0299,0.2381,0.0184,0.1412,0.0312,0.3197,0.0430,0.8187,0.0080,0.1828,0.0046,0.9283,0.0534,7,0.3214
occupancy_delta_replanner,delayed_change_shift,shelf_retrieval,kinematic_trap_creation,0.4439,0.0291,0.3810,0.0125,0.2398,0.0200,0.1412,0.0299,0.3537,0.0321,0.8094,0.0132,0.1831,0.0053,0.9189,0.0538,7,0.4184
occupancy_delta_replanner,delayed_change_shift,shelf_retrieval,object_stack_dependency_flip,0.4694,0.0625,0.3980,0.0274,0.2398,0.0365,0.1803,0.0276,0.3690,0.0176,0.8211,0.0100,0.1811,0.0046,0.9724,0.0781,7,0.3469
occupancy_delta_replanner,delayed_change_shift,shelf_retrieval,occlusion_reveal_hide,0.5153,0.0400,0.3793,0.0339,0.2245,0.0285,0.1497,0.0249,0.3452,0.0342,0.8241,0.0136,0.1833,0.0044,0.9097,0.0398,7,0.2976
occupancy_delta_replanner,delayed_change_shift,shelf_retrieval,passage_closure_opening,0.4592,0.0321,0.3912,0.0365,0.2313,0.0238,0.1207,0.0351,0.3690,0.0607,0.8041,0.0119,0.1824,0.0065,0.8961,0.0521,7,0.3912
occupancy_delta_replanner,delayed_change_shift,shelf_retrieval,reachable_component_split_merge,0.4728,0.0575,0.3622,0.0367,0.2381,0.0512,0.1718,0.0183,0.3656,0.0460,0.8141,0.0161,0.1885,0.0035,0.9387,0.0685,7,0.3861
occupancy_delta_replanner,delayed_change_shift,shelf_retrieval,support_removal,0.5034,0.0477,0.4218,0.0387,0.2755,0.0500,0.1650,0.0129,0.3707,0.0418,0.8144,0.0083,0.1809,0.0034,1.0157,0.0673,7,0.3452
occupancy_delta_replanner,delayed_change_shift,shelf_retrieval,tool_access_tunnel_blockage,0.4881,0.0596,0.3486,0.0536,0.2058,0.0287,0.1378,0.0349,0.3673,0.0495,0.8342,0.0093,0.1866,0.0032,0.8540,0.0856,7,0.3486
occupancy_delta_replanner,delayed_change_shift,support_dependency_rearrangement,kinematic_trap_creation,0.4813,0.0524,0.4235,0.0463,0.2755,0.0206,0.1361,0.0209,0.3435,0.0365,0.8106,0.0143,0.1811,0.0049,0.9870,0.0588,7,0.3469
occupancy_delta_replanner,delayed_change_shift,support_dependency_rearrangement,object_stack_dependency_flip,0.4439,0.0214,0.3963,0.0321,0.2432,0.0410,0.1769,0.0224,0.3776,0.0363,0.8110,0.0080,0.1829,0.0053,0.9730,0.0416,7,0.3946
occupancy_delta_replanner,delayed_change_shift,support_dependency_rearrangement,occlusion_reveal_hide,0.4847,0.0366,0.4014,0.0440,0.2449,0.0301,0.1327,0.0332,0.3469,0.0200,0.8241,0.0183,0.1839,0.0034,0.9337,0.0406,7,0.3282
occupancy_delta_replanner,delayed_change_shift,support_dependency_rearrangement,passage_closure_opening,0.5017,0.0372,0.3929,0.0423,0.2092,0.0381,0.1361,0.0203,0.3469,0.0471,0.8127,0.0169,0.1870,0.0045,0.8939,0.0484,7,0.3061
occupancy_delta_replanner,delayed_change_shift,support_dependency_rearrangement,reachable_component_split_merge,0.4762,0.0330,0.3895,0.0485,0.2517,0.0343,0.1429,0.0288,0.4099,0.0617,0.8054,0.0075,0.1844,0.0055,0.9423,0.0521,7,0.3469
occupancy_delta_replanner,delayed_change_shift,support_dependency_rearrangement,support_removal,0.4490,0.0511,0.4184,0.0503,0.2772,0.0313,0.2024,0.0260,0.3673,0.0362,0.8190,0.0070,0.1838,0.0029,1.0568,0.0520,7,0.3759
occupancy_delta_replanner,delayed_change_shift,support_dependency_rearrangement,tool_access_tunnel_blockage,0.4541,0.0568,0.4133,0.0393,0.2364,0.0412,0.1344,0.0273,0.3929,0.0326,0.8251,0.0118,0.1831,0.0041,0.9355,0.0723,7,0.3759
occupancy_delta_replanner,embodiment_reach_shift,drawer_occluder_access,kinematic_trap_creation,0.4881,0.0401,0.4082,0.0287,0.2670,0.0644,0.1446,0.0339,0.4082,0.0443,0.6678,0.0131,0.1811,0.0035,0.9735,0.0573,7,0.4099
occupancy_delta_replanner,embodiment_reach_shift,drawer_occluder_access,object_stack_dependency_flip,0.5051,0.0429,0.3844,0.0291,0.2738,0.0349,0.1565,0.0412,0.3741,0.0349,0.6663,0.0074,0.1774,0.0055,0.9696,0.0603,7,0.3520
occupancy_delta_replanner,embodiment_reach_shift,drawer_occluder_access,occlusion_reveal_hide,0.5323,0.0333,0.3724,0.0321,0.2075,0.0183,0.1224,0.0182,0.3980,0.0337,0.6674,0.0158,0.1761,0.0053,0.8495,0.0402,7,0.3027
occupancy_delta_replanner,embodiment_reach_shift,drawer_occluder_access,passage_closure_opening,0.4711,0.0391,0.3605,0.0390,0.2432,0.0435,0.1105,0.0232,0.3929,0.0288,0.6663,0.0140,0.1780,0.0037,0.8680,0.0641,7,0.4082
occupancy_delta_replanner,embodiment_reach_shift,drawer_occluder_access,reachable_component_split_merge,0.4966,0.0406,0.4269,0.0545,0.2296,0.0226,0.1037,0.0300,0.4048,0.0650,0.6646,0.0136,0.1811,0.0034,0.9055,0.0498,7,0.3759
occupancy_delta_replanner,embodiment_reach_shift,drawer_occluder_access,support_removal,0.4677,0.0232,0.3844,0.0498,0.2568,0.0363,0.1718,0.0305,0.3980,0.0349,0.6782,0.0124,0.1828,0.0027,0.9723,0.0802,7,0.4116
occupancy_delta_replanner,embodiment_reach_shift,drawer_occluder_access,tool_access_tunnel_blockage,0.4813,0.0264,0.3656,0.0317,0.2211,0.0301,0.1139,0.0227,0.3724,0.0291,0.6715,0.0097,0.1791,0.0070,0.8527,0.0235,7,0.3622
occupancy_delta_replanner,embodiment_reach_shift,mobile_manipulation_movable_obstacles,kinematic_trap_creation,0.4966,0.0393,0.4031,0.0552,0.2653,0.0383,0.1276,0.0352,0.3878,0.0384,0.6779,0.0126,0.1793,0.0056,0.9477,0.0330,7,0.3810
occupancy_delta_replanner,embodiment_reach_shift,mobile_manipulation_movable_obstacles,object_stack_dependency_flip,0.5068,0.0384,0.3520,0.0381,0.2313,0.0196,0.1752,0.0317,0.3793,0.0728,0.6687,0.0095,0.1757,0.0048,0.9133,0.0467,7,0.3622
occupancy_delta_replanner,embodiment_reach_shift,mobile_manipulation_movable_obstacles,occlusion_reveal_hide,0.4643,0.0429,0.3673,0.0382,0.2466,0.0406,0.1344,0.0337,0.3946,0.0347,0.6746,0.0123,0.1833,0.0054,0.9079,0.0885,7,0.3724
occupancy_delta_replanner,embodiment_reach_shift,mobile_manipulation_movable_obstacles,passage_closure_opening,0.4915,0.0329,0.3946,0.0320,0.2279,0.0276,0.1497,0.0203,0.3707,0.0358,0.6652,0.0094,0.1767,0.0053,0.9199,0.0492,7,0.3912
occupancy_delta_replanner,embodiment_reach_shift,mobile_manipulation_movable_obstacles,reachable_component_split_merge,0.4422,0.0347,0.3980,0.0283,0.2415,0.0366,0.1190,0.0326,0.3486,0.0344,0.6632,0.0235,0.1792,0.0046,0.9081,0.0632,7,0.4286
occupancy_delta_replanner,embodiment_reach_shift,mobile_manipulation_movable_obstacles,support_removal,0.4626,0.0230,0.3878,0.0233,0.2449,0.0309,0.1786,0.0330,0.4065,0.0354,0.6714,0.0145,0.1801,0.0021,0.9666,0.0478,7,0.3588
occupancy_delta_replanner,embodiment_reach_shift,mobile_manipulation_movable_obstacles,tool_access_tunnel_blockage,0.4847,0.0273,0.3673,0.0290,0.2245,0.0459,0.1463,0.0329,0.4150,0.0382,0.6661,0.0116,0.1802,0.0032,0.8930,0.0573,7,0.3929
occupancy_delta_replanner,embodiment_reach_shift,narrow_passage_bin_pick,kinematic_trap_creation,0.4813,0.0391,0.4218,0.0301,0.2347,0.0243,0.1599,0.0168,0.4082,0.0352,0.6559,0.0056,0.1778,0.0059,0.9623,0.0472,7,0.3929
occupancy_delta_replanner,embodiment_reach_shift,narrow_passage_bin_pick,object_stack_dependency_flip,0.4983,0.0312,0.3946,0.0412,0.2296,0.0498,0.1531,0.0294,0.3776,0.0333,0.6700,0.0146,0.1830,0.0039,0.9316,0.0531,7,0.3793
occupancy_delta_replanner,embodiment_reach_shift,narrow_passage_bin_pick,occlusion_reveal_hide,0.5000,0.0461,0.4218,0.0413,0.2517,0.0402,0.1514,0.0333,0.3929,0.0453,0.6745,0.0127,0.1793,0.0035,0.9736,0.0506,7,0.3622
occupancy_delta_replanner,embodiment_reach_shift,narrow_passage_bin_pick,passage_closure_opening,0.4405,0.0467,0.3963,0.0202,0.2245,0.0465,0.1173,0.0224,0.4218,0.0363,0.6707,0.0081,0.1792,0.0033,0.8862,0.0539,7,0.4507
occupancy_delta_replanner,embodiment_reach_shift,narrow_passage_bin_pick,reachable_component_split_merge,0.4813,0.0534,0.3997,0.0531,0.2347,0.0355,0.1531,0.0382,0.4439,0.0352,0.6603,0.0124,0.1763,0.0041,0.9349,0.0910,7,0.3844
occupancy_delta_replanner,embodiment_reach_shift,narrow_passage_bin_pick,support_removal,0.4796,0.0466,0.3810,0.0432,0.2415,0.0278,0.1973,0.0356,0.3878,0.0477,0.6611,0.0120,0.1815,0.0024,0.9781,0.0887,7,0.4082
occupancy_delta_replanner,embodiment_reach_shift,narrow_passage_bin_pick,tool_access_tunnel_blockage,0.4813,0.0287,0.3793,0.0451,0.2585,0.0348,0.1684,0.0402,0.3895,0.0625,0.6717,0.0063,0.1810,0.0044,0.9645,0.0908,7,0.3810
occupancy_delta_replanner,embodiment_reach_shift,shelf_retrieval,kinematic_trap_creation,0.4609,0.0352,0.3844,0.0208,0.2398,0.0479,0.1701,0.0174,0.3878,0.0429,0.6649,0.0086,0.1800,0.0077,0.9491,0.0618,7,0.4303
occupancy_delta_replanner,embodiment_reach_shift,shelf_retrieval,object_stack_dependency_flip,0.4677,0.0337,0.3793,0.0187,0.2449,0.0352,0.1344,0.0309,0.4320,0.0498,0.6678,0.0164,0.1790,0.0042,0.9118,0.0466,7,0.3963
occupancy_delta_replanner,embodiment_reach_shift,shelf_retrieval,occlusion_reveal_hide,0.4966,0.0380,0.3946,0.0513,0.2092,0.0264,0.1173,0.0219,0.3878,0.0309,0.6625,0.0074,0.1777,0.0052,0.8664,0.0749,7,0.3759
occupancy_delta_replanner,embodiment_reach_shift,shelf_retrieval,passage_closure_opening,0.5102,0.0365,0.3622,0.0449,0.2160,0.0347,0.1207,0.0267,0.4320,0.0202,0.6739,0.0099,0.1813,0.0032,0.8535,0.0622,7,0.3435
occupancy_delta_replanner,embodiment_reach_shift,shelf_retrieval,reachable_component_split_merge,0.4711,0.0374,0.3912,0.0427,0.2602,0.0379,0.1310,0.0353,0.4150,0.0465,0.6617,0.0084,0.1872,0.0061,0.9434,0.0760,7,0.4014
occupancy_delta_replanner,embodiment_reach_shift,shelf_retrieval,support_removal,0.4711,0.0381,0.3469,0.0492,0.2449,0.0387,0.1531,0.0312,0.4201,0.0237,0.6665,0.0098,0.1790,0.0041,0.9040,0.0596,7,0.4371
occupancy_delta_replanner,embodiment_reach_shift,shelf_retrieval,tool_access_tunnel_blockage,0.5034,0.0514,0.3929,0.0519,0.2398,0.0257,0.1259,0.0309,0.3997,0.0337,0.6664,0.0124,0.1801,0.0068,0.9099,0.0908,7,0.3537
occupancy_delta_replanner,embodiment_reach_shift,support_dependency_rearrangement,kinematic_trap_creation,0.4949,0.0367,0.4099,0.0541,0.2551,0.0397,0.1786,0.0210,0.4014,0.0422,0.6581,0.0086,0.1787,0.0038,0.9952,0.0434,7,0.3776
occupancy_delta_replanner,embodiment_reach_shift,support_dependency_rearrangement,object_stack_dependency_flip,0.4796,0.0480,0.3861,0.0485,0.2279,0.0339,0.1633,0.0370,0.4235,0.0233,0.6614,0.0134,0.1786,0.0062,0.9289,0.0859,7,0.3605
occupancy_delta_replanner,embodiment_reach_shift,support_dependency_rearrangement,occlusion_reveal_hide,0.4745,0.0442,0.3588,0.0442,0.2313,0.0352,0.1412,0.0156,0.3980,0.0360,0.6652,0.0140,0.1787,0.0025,0.8864,0.0757,7,0.3861
occupancy_delta_replanner,embodiment_reach_shift,support_dependency_rearrangement,passage_closure_opening,0.4235,0.0452,0.3878,0.0429,0.2228,0.0220,0.1088,0.0230,0.4065,0.0503,0.6621,0.0130,0.1785,0.0050,0.8674,0.0396,7,0.4388
occupancy_delta_replanner,embodiment_reach_shift,support_dependency_rearrangement,reachable_component_split_merge,0.4966,0.0720,0.3878,0.0397,0.2500,0.0310,0.1548,0.0239,0.3980,0.0469,0.6666,0.0092,0.1814,0.0018,0.9485,0.0471,7,0.3350
occupancy_delta_replanner,embodiment_reach_shift,support_dependency_rearrangement,support_removal,0.4745,0.0473,0.4065,0.0339,0.2670,0.0274,0.1990,0.0150,0.3997,0.0419,0.6641,0.0120,0.1781,0.0055,1.0263,0.0297,7,0.4116
occupancy_delta_replanner,embodiment_reach_shift,support_dependency_rearrangement,tool_access_tunnel_blockage,0.5017,0.0647,0.3810,0.0401,0.2585,0.0431,0.1207,0.0299,0.4167,0.0569,0.6682,0.0153,0.1802,0.0067,0.9151,0.0669,7,0.3673
occupancy_delta_replanner,nominal,drawer_occluder_access,kinematic_trap_creation,0.5578,0.0412,0.2585,0.0359,0.1718,0.0317,0.1037,0.0189,0.4150,0.0351,0.6086,0.0120,0.1627,0.0055,0.6803,0.0506,7,0.2874
occupancy_delta_replanner,nominal,drawer_occluder_access,object_stack_dependency_flip,0.5646,0.0416,0.2874,0.0230,0.1803,0.0267,0.1088,0.0299,0.4473,0.0466,0.6043,0.0084,0.1618,0.0041,0.7187,0.0366,7,0.2755
occupancy_delta_replanner,nominal,drawer_occluder_access,occlusion_reveal_hide,0.5884,0.0716,0.2687,0.0404,0.1718,0.0301,0.0782,0.0123,0.4303,0.0415,0.6095,0.0189,0.1666,0.0025,0.6661,0.0358,7,0.2619
occupancy_delta_replanner,nominal,drawer_occluder_access,passage_closure_opening,0.5561,0.0514,0.2721,0.0285,0.1497,0.0209,0.1054,0.0312,0.4796,0.0232,0.6028,0.0096,0.1691,0.0050,0.6757,0.0476,7,0.2874
occupancy_delta_replanner,nominal,drawer_occluder_access,reachable_component_split_merge,0.5799,0.0355,0.2874,0.0294,0.1463,0.0268,0.0731,0.0230,0.4643,0.0534,0.6066,0.0070,0.1624,0.0044,0.6444,0.0490,7,0.2874
occupancy_delta_replanner,nominal,drawer_occluder_access,support_removal,0.5714,0.0486,0.2653,0.0363,0.1650,0.0412,0.0935,0.0156,0.4150,0.0343,0.6032,0.0047,0.1624,0.0018,0.6676,0.0463,7,0.2704
occupancy_delta_replanner,nominal,drawer_occluder_access,tool_access_tunnel_blockage,0.5663,0.0543,0.2670,0.0377,0.1684,0.0362,0.0782,0.0175,0.4456,0.0511,0.6051,0.0148,0.1682,0.0044,0.6625,0.0333,7,0.2823
occupancy_delta_replanner,nominal,mobile_manipulation_movable_obstacles,kinematic_trap_creation,0.5799,0.0333,0.3061,0.0195,0.1633,0.0422,0.0867,0.0278,0.4473,0.0370,0.6041,0.0113,0.1627,0.0035,0.6936,0.0371,7,0.2857
occupancy_delta_replanner,nominal,mobile_manipulation_movable_obstacles,object_stack_dependency_flip,0.5867,0.0377,0.2857,0.0488,0.2211,0.0387,0.1088,0.0156,0.3878,0.0254,0.6114,0.0069,0.1680,0.0054,0.7683,0.0535,7,0.2942
occupancy_delta_replanner,nominal,mobile_manipulation_movable_obstacles,occlusion_reveal_hide,0.5629,0.0340,0.2585,0.0278,0.1973,0.0419,0.0748,0.0273,0.4133,0.0370,0.5904,0.0048,0.1671,0.0046,0.6824,0.0664,7,0.2806
occupancy_delta_replanner,nominal,mobile_manipulation_movable_obstacles,passage_closure_opening,0.5816,0.0312,0.2602,0.0241,0.1616,0.0233,0.0867,0.0248,0.4252,0.0366,0.5965,0.0057,0.1648,0.0042,0.6548,0.0392,7,0.2721
occupancy_delta_replanner,nominal,mobile_manipulation_movable_obstacles,reachable_component_split_merge,0.5357,0.0353,0.2619,0.0249,0.1786,0.0364,0.1020,0.0238,0.4065,0.0339,0.5899,0.0121,0.1644,0.0053,0.6906,0.0420,7,0.3078
occupancy_delta_replanner,nominal,mobile_manipulation_movable_obstacles,support_removal,0.5493,0.0257,0.2976,0.0494,0.1990,0.0313,0.0714,0.0088,0.4184,0.0224,0.6044,0.0137,0.1655,0.0042,0.7123,0.0646,7,0.3605
occupancy_delta_replanner,nominal,mobile_manipulation_movable_obstacles,tool_access_tunnel_blockage,0.5646,0.0292,0.2415,0.0344,0.2041,0.0354,0.0901,0.0254,0.4303,0.0473,0.6047,0.0079,0.1615,0.0053,0.6859,0.0442,7,0.2874
occupancy_delta_replanner,nominal,narrow_passage_bin_pick,kinematic_trap_creation,0.5493,0.0468,0.2772,0.0141,0.2143,0.0326,0.1224,0.0309,0.3861,0.0296,0.5982,0.0120,0.1631,0.0061,0.7631,0.0545,7,0.3316
occupancy_delta_replanner,nominal,narrow_passage_bin_pick,object_stack_dependency_flip,0.5374,0.0505,0.2687,0.0337,0.2075,0.0352,0.1037,0.0214,0.4320,0.0329,0.6082,0.0114,0.1654,0.0036,0.7309,0.0715,7,0.3044
occupancy_delta_replanner,nominal,narrow_passage_bin_pick,occlusion_reveal_hide,0.5884,0.0387,0.3010,0.0377,0.1871,0.0287,0.0867,0.0243,0.4303,0.0393,0.5985,0.0095,0.1642,0.0033,0.7169,0.0408,7,0.2721
occupancy_delta_replanner,nominal,narrow_passage_bin_pick,passage_closure_opening,0.5459,0.0365,0.2619,0.0184,0.1769,0.0369,0.1156,0.0377,0.4541,0.0396,0.6045,0.0178,0.1657,0.0041,0.7043,0.0500,7,0.3180
occupancy_delta_replanner,nominal,narrow_passage_bin_pick,reachable_component_split_merge,0.5510,0.0578,0.2772,0.0543,0.2143,0.0301,0.0884,0.0238,0.3861,0.0569,0.6093,0.0113,0.1623,0.0048,0.7265,0.0486,7,0.3265
occupancy_delta_replanner,nominal,narrow_passage_bin_pick,support_removal,0.5425,0.0305,0.2381,0.0322,0.2024,0.0197,0.0952,0.0318,0.4541,0.0476,0.5968,0.0119,0.1636,0.0044,0.6886,0.0724,7,0.3299
occupancy_delta_replanner,nominal,narrow_passage_bin_pick,tool_access_tunnel_blockage,0.5323,0.0287,0.2483,0.0316,0.1667,0.0269,0.1207,0.0276,0.3946,0.0347,0.6015,0.0126,0.1657,0.0055,0.6869,0.0560,7,0.3010
occupancy_delta_replanner,nominal,shelf_retrieval,kinematic_trap_creation,0.5442,0.0604,0.2619,0.0411,0.1956,0.0283,0.1037,0.0287,0.3878,0.0419,0.5936,0.0140,0.1640,0.0039,0.7107,0.0407,7,0.3299
occupancy_delta_replanner,nominal,shelf_retrieval,object_stack_dependency_flip,0.5493,0.0616,0.2517,0.0257,0.1650,0.0257,0.0884,0.0221,0.4048,0.0404,0.5959,0.0055,0.1648,0.0034,0.6531,0.0325,7,0.2976
occupancy_delta_replanner,nominal,shelf_retrieval,occlusion_reveal_hide,0.5612,0.0396,0.2262,0.0322,0.1633,0.0278,0.0680,0.0182,0.3912,0.0505,0.5991,0.0102,0.1652,0.0040,0.6085,0.0227,7,0.2755
occupancy_delta_replanner,nominal,shelf_retrieval,passage_closure_opening,0.5561,0.0653,0.2772,0.0237,0.1956,0.0243,0.0867,0.0202,0.4065,0.0219,0.6015,0.0167,0.1664,0.0043,0.7082,0.0364,7,0.3146
occupancy_delta_replanner,nominal,shelf_retrieval,reachable_component_split_merge,0.5850,0.0714,0.2789,0.0483,0.1803,0.0354,0.0799,0.0287,0.4201,0.0363,0.5966,0.0114,0.1667,0.0032,0.6861,0.0567,7,0.2959
occupancy_delta_replanner,nominal,shelf_retrieval,support_removal,0.5493,0.0206,0.2670,0.0317,0.1684,0.0328,0.1054,0.0156,0.4201,0.0501,0.5957,0.0126,0.1610,0.0025,0.6839,0.0379,7,0.3010
occupancy_delta_replanner,nominal,shelf_retrieval,tool_access_tunnel_blockage,0.5170,0.0536,0.2925,0.0488,0.1446,0.0299,0.0663,0.0305,0.4728,0.0258,0.5963,0.0098,0.1618,0.0025,0.6391,0.0812,7,0.3384
occupancy_delta_replanner,nominal,support_dependency_rearrangement,kinematic_trap_creation,0.5374,0.0257,0.3384,0.0301,0.1752,0.0333,0.0918,0.0337,0.4269,0.0427,0.6028,0.0162,0.1668,0.0033,0.7436,0.0411,7,0.3248
occupancy_delta_replanner,nominal,support_dependency_rearrangement,object_stack_dependency_flip,0.5731,0.0454,0.2806,0.0410,0.1616,0.0349,0.1003,0.0160,0.3997,0.0463,0.5867,0.0097,0.1661,0.0057,0.6877,0.0689,7,0.2823
occupancy_delta_replanner,nominal,support_dependency_rearrangement,occlusion_reveal_hide,0.5306,0.0536,0.2602,0.0246,0.1786,0.0216,0.0765,0.0215,0.4065,0.0276,0.6021,0.0111,0.1652,0.0041,0.6632,0.0380,7,0.2925
occupancy_delta_replanner,nominal,support_dependency_rearrangement,passage_closure_opening,0.5663,0.0387,0.2908,0.0296,0.1786,0.0353,0.1071,0.0144,0.4388,0.0206,0.6056,0.0105,0.1603,0.0029,0.7164,0.0642,7,0.2993
occupancy_delta_replanner,nominal,support_dependency_rearrangement,reachable_component_split_merge,0.5340,0.0324,0.2568,0.0370,0.1735,0.0269,0.0884,0.0404,0.4711,0.0404,0.5944,0.0148,0.1653,0.0044,0.6673,0.0543,7,0.3197
occupancy_delta_replanner,nominal,support_dependency_rearrangement,support_removal,0.5221,0.0362,0.2687,0.0413,0.1905,0.0244,0.1071,0.0279,0.4150,0.0622,0.6024,0.0080,0.1652,0.0055,0.7156,0.0609,7,0.3486
occupancy_delta_replanner,nominal,support_dependency_rearrangement,tool_access_tunnel_blockage,0.5714,0.0260,0.2738,0.0330,0.1531,0.0257,0.0850,0.0193,0.4728,0.0380,0.6046,0.0092,0.1636,0.0038,0.6540,0.0619,7,0.2755
occupancy_delta_replanner,perception_noise_shift,drawer_occluder_access,kinematic_trap_creation,0.5170,0.0632,0.3622,0.0587,0.2211,0.0287,0.1173,0.0276,0.3690,0.0438,0.6363,0.0100,0.1806,0.0035,0.8550,0.0755,7,0.3299
occupancy_delta_replanner,perception_noise_shift,drawer_occluder_access,object_stack_dependency_flip,0.5068,0.0264,0.3333,0.0483,0.2330,0.0123,0.1667,0.0301,0.3027,0.0203,0.6603,0.0147,0.1822,0.0016,0.8969,0.0440,7,0.3146
occupancy_delta_replanner,perception_noise_shift,drawer_occluder_access,occlusion_reveal_hide,0.4864,0.0457,0.3214,0.0414,0.1820,0.0317,0.1224,0.0268,0.3810,0.0388,0.6403,0.0073,0.1805,0.0036,0.7824,0.0547,7,0.3265
occupancy_delta_replanner,perception_noise_shift,drawer_occluder_access,passage_closure_opening,0.4949,0.0367,0.3248,0.0482,0.1905,0.0301,0.1105,0.0273,0.3333,0.0478,0.6378,0.0122,0.1777,0.0052,0.7794,0.0514,7,0.3282
occupancy_delta_replanner,perception_noise_shift,drawer_occluder_access,reachable_component_split_merge,0.5051,0.0264,0.3384,0.0432,0.2109,0.0333,0.1139,0.0317,0.3571,0.0404,0.6357,0.0129,0.1861,0.0048,0.8254,0.0750,7,0.3248
